H-index,Name,Organization,Gender,Award and Membership
62,Douglas C. Schmidt,Vanderbilt University,Male,NA
62,Tieniu Tan,Chinese Academy of Sciences,Male,IEEE Fellow| IAPR Fellow 
62,Lothar Thiele,ETH Zurich,Male,NA
62,Michael Unser,EPFL,Male,NA
62,Yorick Wilks,IHMC| Florida,Male,NA
61,Jon Crowcroft,U Cambridge,Male,ACM Fellow| IEEE Fellow| Fellow of the Royal Society 
61,Srinivas Devadas,MIT,Male,ACM Fellow| IEEE Fellow 
61,David Fogel,Natural Selection,Male,IEEE Fellow| IEEE Kiyo Tomiyasu Award 
61,Dieter Fox,U Washington,Male,NA
61,Michael Franklin,Berkeley,Male,ACM Fellow 
61,Saul Greenberg,University of Calgary,Male,Member of the ACM CHI Academy 
61,Pat Hanrahan,Stanford,Male,ACM Fellow| Member of the National Academy of Engineering 
61,Henry Kautz,Rochester,Male,ACM Fellow 
61,Kai Li,Princeton,Male,ACM Fellow| Member of the National Academy of Engineering 
61,Nadia Magnenat-Thalmann,U Geneva,Female,NA
61,Chunming Qiao,SUNY Buffalo,Male,IEEE Fellow 
61,Kaushik Roy,Purdue U,Male,NA
61,Russell H. Taylor,Johns Hopkins U,Male,NA
61,Roger Wattenhofer,ETH Zurich,Male,NA
61,Alan Yuille,UCLA,Male,NA
60,Ross Anderson,U Cambridge,Male,Fellow of the Royal Society 
60,David Dill,Stanford,Male,ACM Fellow| IEEE Fellow 
60,Ronald Fedkiw,Stanford,Male,Academy Award from The Academy of Motion Picture Arts and Sciences 
60,Wen Gao,Peking U,Male,ACM Fellow| IEEE Fellow 
60,Angelos Keromytis,Columbia,Male,NA
60,K. J. Ray Liu,U Maryland,Male,IEEE Fellow| AAAS Fellow 
60,Zohar Manna,Stanford,Male,ACM Fellow 
60,Lionel Ni,Hong Kong U of Science and Tech,Male,NA
60,Sudhakar Reddy,U Iowa,Male,IEEE Fellow 
60,Gregg Rothermel,U Nebraska| Lincoln,Male,NA
60,Dan Suciu,U Washington,Male,ACM Fellow 
60,Yiyu Yao,U Regina,Male,NA
59,Mohamed-Slim Alouini,KAUST,Male,NA
59,Guohong Cao,Penn State,Male,IEEE Fellow 
59,Carole Goble,U Manchester,Female,NA
59,Tim Berners-Lee,World Wide Web Foundation,Male,NA
59,Henry Levy,U Washington,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
59,Huan Liu,Arizona State U,Male,NA
59,Silvio Micali,MIT,Male,Turing Award| Member of the National Academy of Engineering| Member of the National Academy of Sciences| IACR Fellow| Member of the American Academy of Arts & Sciences 
59,David Padua,UIUC,Male,ACM Fellow| IEEE Fellow 
59,David Tse,Berkeley,Male,NA
59,Jonathan Turner,Washington U| St Louis,Male,ACM Fellow 
59,Manuela Veloso,CMU,Male,NA
59,Philip Wadler,U Edinburgh,Male,ACM Fellow 
59,Daniel S. Weld,U Washington,Male,ACM Fellow 
58,Alex Acero,Apple,Male,IEEE Fellow| ISCA Fellow 
58,Alex Aiken,Stanford,Male,ACM Fellow 
58,Mostafa H. Ammar,Georgia Tech,Male,ACM Fellow| IEEE Fellow 
58,Eric Brewer,Berkeley,Male,ACM Fellow 
58,Luca Cardelli,Microsoft,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea)| Fellow of the Royal Society 
58,Peter Druschel,Max Planck,Male,Member of Academy of Europe (Academia Europaea) 
58,Schahram Dustdar,TU Vienna,Male,Member of Academy of Europe (Academia Europaea)| IEEE Fellow 
58,Rajesh Gupta,UCSD,Male,IEEE Fellow 
58,Mark Harman,U College London,Male,NA
58,Mark D. Hill,U Wisconsin,Male,ACM Fellow 
58,Hisao Ishibuchi,Osaka Prefecture University,Male,IEEE Fellow 
58,Ramesh Jain,UC Irvine,Male,ACM Fellow| IEEE Fellow| AAAI Fellow| IAPR Fellow| SPIE Fellow 
58,David B. Johnson,Rice U,Male,NA
58,Arie Kaufman,SUNY Stony Brook,Male,ACM Fellow| IEEE Fellow 
58,David Kriegman,UCSD,Male,NA
58,Wenke Lee,Georgia Tech,Male,NA
58,Pattie Maes,MIT,Female,NA
58,Enrico Motta,The Open U,Male,NA
58,Noam Nisan,Hebrew U,Male,NA
58,John Reif,Duke U,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
58,Jennifer Rexford,Princeton,Female,ACM Fellow 
58,Stefano Soatto,UCLA,Male,NA
58,Amin Vahdat,UCSD,Male,ACM Fellow 
58,David Wagner,Berkeley,Male,NA
57,Alfred V. Aho,Columbia U,Male,ACM Fellow 
57,Gustavo Alonso,ETH Zurich,Male,ACM Fellow| IEEE Fellow 
57,Mikhail Atallah,Purdue U,Male,ACM Fellow 
57,Michael J. Black,Brown U,Male,NA
57,Avrim Blum,CMU,Male,ACM Fellow 
57,Jean-Yves Le Boudec,EPFL,Male,NA
57,James Demmel,Berkeley,Male,ACM Fellow| SIAM Fellow| Paris Kanellakis Theory and Practice Award 
57,Stuart K. Card,Xerox,Male,NA
57,David K. Gifford,MIT,Male,NA
57,Mark Handley,U College London,Male,NA
57,David Harel,Weizmann,Male,ACM Fellow| IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
57,Leslie Lamport,Microsoft,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering 
57,Steve Lawrence,Google,Male,NA
57,Tom Leighton,MIT,Male,Member of the National Academy of Engineering| SIAM Fellow 
57,Tom Mitchell,CMU,Male,NA
57,Wolfgang Nejdl,L3S Research Center| Hannover,Male,NA
57,Alex Nicolau,UC Irvine,Male,IEEE Fellow 
57,Rafail Ostrovsky,UCLA,Male,IACR Fellow 
57,Massoud Pedram,USC,Male,NA
57,Martin Rinard,MIT,Male,NA
57,David Salesin,Adobe Systems,Male,ACM Fellow 
57,Tuomas Sandholm,CMU,Male,ACM Fellow 
57,Padhraic Smyth,UC Irvine,Male,ACM Fellow 
57,Andrew S. Tanenbaum,Vrije U| The Netherlands,Male,ACM Fellow| IEEE Fellow 
57,Walter Willinger,Bell Labs,Male,ACM Fellow| SIAM Fellow 
57,Xin Yao,U Birmingham,Male,IEEE Fellow 
57,Michele Zorzi,U Padova,Male,IEEE Fellow 
56,Gregory D. Abowd,Georgia Tech,Male,ACM Fellow| ACM SIGCHI Academy 
56,Alan Burns,U York,Male,NA
56,Stefano Ceri,Politecnico di Milano,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea) 
56,Bernard Chazelle,Princeton,Male,ACM Fellow 
56,Rachid Deriche,INRIA,Male,NA
56,Eleazar Eskin,UCLA,Male,NA
56,Dieter Fensel,Innsbruck U,Male,NA
56,David Garlan,CMU,Male,ACM Fellow 
56,Dimitrios Gunopulos,U Athens,Male,NA
56,Matthias Jarke,RWTH Aachen,Male,NA
56,Kim G. Larsen,Aalborg U,Male,NA
56,Songwu Lu,UCLA,Male,NA
56,Raymond Mooney,UT Austin,Male,ACM Fellow 
56,Brad Myers,CMU,Male,ACM Fellow| IEEE Fellow 
56,Pietro Perona,Cal Tech,Male,NA
56,Miodrag Potkonjak,UCLA,Male,NA
56,Rajeev Rastogi,Amazon,Male,ACM Fellow 
56,Sartaj Sahni,U Florida,Male,ACM Fellow| IEEE Fellow 
56,Hanan Samet,U Maryland,Male,ACM Fellow| IEEE Fellow 
56,Ravi Sandhu,UT San Antonio,Male,ACM Fellow| IEEE Fellow| IEEE Technical Achievement Award 
56,Dennis Shasha,NYU,Male,ACM Fellow 
56,Prashant Shenoy,U Mass| Amherst,Male,NA
56,Ian Witten,U Waikato,Male,ACM Fellow 
56,Yang Xiao,U Alabama,Male,NA
55,Sanjoy Baruah,UNC,Male,IEEE Fellow 
55,Ming-Syan Chen,National Taiwan University,Male,ACM Fellow| IEEE Fellow 
55,Michael Cohen,Microsoft,Male,ACM Fellow 
55,Daniel Cohen-Or,Tel Aviv U,Male,NA
55,Stefan Decker,RWTH Aachen U,Male,NA
55,Pedro Domingos,U Washington,Male,NA
55,Philippe Flajolet,INRIA,Male,Member of Academy of Europe (Academia Europaea) 
